iter	RMSE
0	40.56636404
1	39.32518432
2	38.00110663
3	36.8508105
4	35.68258347
5	34.53200747
6	33.37522799
7	32.26780063
8	31.23937238
9	30.24843035
10	29.28506133
11	28.31608128
12	27.44477622
13	26.5525729
14	25.73499685
15	24.88515555
16	24.16602492
17	23.44387156
18	22.68871792
19	22.00318763
20	21.31615529
21	20.68951338
22	20.08984294
23	19.47961283
24	18.8931939
25	18.29050869
26	17.75136591
27	17.19709711
28	16.69023691
29	16.17071754
30	15.67663023
31	15.17257008
32	14.74531137
33	14.28055224
34	13.83371385
35	13.45568248
36	13.06920445
37	12.67301767
38	12.28495176
39	11.94300566
40	11.6081923
41	11.26796509
42	10.93185346
43	10.60872454
44	10.30711409
45	9.992984854
46	9.685026247
47	9.390915609
48	9.122403738
49	8.871225772
50	8.626163573
51	8.368543801
52	8.136098914
53	7.915589165
54	7.68862116
55	7.489407755
56	7.288683889
57	7.094970783
58	6.903470277
59	6.711424178
60	6.533560352
61	6.356316733
62	6.200918395
63	6.045114457
64	5.877481373
65	5.721218195
66	5.57609356
67	5.439200864
68	5.29048461
69	5.156056098
70	5.023285481
71	4.903105798
72	4.796561149
73	4.669443666
74	4.558032793
75	4.441560838
76	4.326750826
77	4.226496685
78	4.131717468
79	4.047413144
80	3.950412614
81	3.868187488
82	3.777524136
83	3.695853736
84	3.618463963
85	3.537631677
86	3.473925704
87	3.406694762
88	3.334267108
89	3.27154846
90	3.207639093
91	3.143887243
92	3.081691373
93	3.025300745
94	2.974249144
95	2.926895573
96	2.869512712
97	2.82067359
98	2.771988195
99	2.723008362
100	2.67190685
101	2.628859517
102	2.58402406
103	2.548808616
104	2.516662375
105	2.481973367
106	2.446935459
107	2.412817853
108	2.374930822
109	2.344176808
110	2.315503083
111	2.283001299
112	2.273023265
113	2.242570067
114	2.232665918
115	2.217531079
116	2.187850962
117	2.179201307
118	2.171328133
119	2.15327112
120	2.145251788
121	2.118914054
122	2.109289292
123	2.095449286
124	2.069906291
125	2.046737611
126	2.039203328
127	2.017160659
128	2.003553807
129	1.986820746
130	1.968161705
131	1.956255194
132	1.939826201
133	1.933571127
134	1.927244675
135	1.92073706
136	1.914782846
137	1.907443443
138	1.889345129
139	1.882785183
140	1.865886541
141	1.84779434
142	1.829957182
143	1.824191242
144	1.818720042
145	1.810129978
146	1.803454044
147	1.787933691
148	1.782705041
149	1.776838453
150	1.769288018
151	1.756921215
152	1.741194877
153	1.736530771
154	1.728030857
155	1.713934199
156	1.708967815
157	1.694587348
158	1.689291719
159	1.684355408
160	1.672555401
161	1.668650248
162	1.664397008
163	1.660399873
164	1.655803379
165	1.648087304
166	1.635220897
167	1.630435518
168	1.617956801
169	1.614319123
170	1.608385552
171	1.604867044
172	1.601246339
173	1.596593785
174	1.584764001
175	1.580550541
176	1.573707257
177	1.568077475
178	1.564709481
179	1.561622896
180	1.543187405
181	1.540128282
182	1.528541735
183	1.525621426
184	1.52263341
185	1.517997369
186	1.515234445
187	1.512461433
188	1.509795437
189	1.498068947
190	1.486083548
191	1.483532098
192	1.480718782
193	1.471278804
194	1.466473093
195	1.453403165
196	1.450643969
197	1.436268693
198	1.427262653
199	1.424028067
200	1.420946719
201	1.412324532
202	1.408494264
203	1.405877376
204	1.402441088
205	1.394534922
206	1.392453232
207	1.384773696
208	1.382864252
209	1.371829392
210	1.369556541
211	1.367301464
212	1.357208168
213	1.355211427
214	1.353263226
215	1.351551979
216	1.34934878
217	1.347621459
218	1.34440701
219	1.338290423
220	1.336683507
221	1.33026601
222	1.325311854
223	1.32380914
224	1.315570223
225	1.313037315
226	1.302937658
227	1.300992823
228	1.299425537
229	1.292093782
230	1.287879583
231	1.28657235
232	1.285291741
233	1.284034824
234	1.274725095
235	1.267721833
236	1.266464151
237	1.264490318
238	1.263332609
239	1.261321421
240	1.259730908
241	1.258636271
242	1.253433989
243	1.252375778
244	1.251337303
245	1.250048535
246	1.241813633
247	1.240825241
248	1.237622108
249	1.231487081
250	1.229998075
251	1.229075072
252	1.228169368
253	1.220483255
254	1.214795552
255	1.209566805
256	1.204466557
257	1.203627313
258	1.198012019
259	1.197201538
260	1.196406311
261	1.189206991
262	1.188436116
263	1.187679773
264	1.186937696
265	1.18011286
266	1.179393775
267	1.17549176
268	1.167383206
269	1.162894483
270	1.15890215
271	1.158235923
272	1.157582307
273	1.154403112
274	1.150302194
275	1.149614988
276	1.149005095
277	1.145773843
278	1.139376829
279	1.133360413
280	1.132458328
281	1.131895288
282	1.128674947
283	1.125598431
284	1.120119927
285	1.115578434
286	1.115060034
287	1.114551505
288	1.114052664
289	1.109243994
290	1.104420101
291	1.101611452
292	1.101143805
293	1.100685081
294	1.098240036
295	1.097581232
296	1.093936085
297	1.090291702
298	1.087107727
299	1.084372738
300	1.083780356
301	1.083241861
302	1.081059747
303	1.080078227
304	1.079459083
305	1.07897539
306	1.075844131
307	1.073456426
308	1.070992681
309	1.070523977
310	1.068661688
311	1.063783808
312	1.063348397
313	1.062909852
314	1.060951387
315	1.057368857
316	1.052928875
317	1.050034368
318	1.048060468
319	1.0476672
320	1.045614137
321	1.045242149
322	1.044879065
323	1.04440818
324	1.041779137
325	1.041437011
326	1.040528098
327	1.035965503
328	1.032638787
329	1.032251972
330	1.031875475
331	1.03085897
332	1.028429044
333	1.024627524
334	1.024391679
335	1.022692585
336	1.022362599
337	1.022133701
338	1.018326353
339	1.017004329
340	1.016699131
341	1.013206496
342	1.012941308
343	1.010709255
344	1.010513299
345	1.00835378
346	1.007980865
347	1.00779442
348	1.006145897
349	1.004201973
350	1.003950317
351	1.003777705
352	1.000852148
353	0.9994821729
354	0.9992288001
355	0.9956051955
356	0.9953936479
357	0.9927895988
358	0.9925626831
359	0.9923598254
360	0.9920513207
361	0.988995926
362	0.9887626629
363	0.9881970265
364	0.984621715
365	0.9813290747
366	0.9811500986
367	0.9776447571
368	0.9760236635
369	0.9758337778
370	0.9756476811
371	0.9754653164
372	0.9740395449
373	0.971692254
374	0.9694733849
375	0.9692989175
376	0.9680495319
377	0.9664124161
378	0.9649428722
379	0.9648332308
380	0.9646435284
381	0.9608643682
382	0.9596807269
383	0.9577285464
384	0.9545666958
385	0.9527937741
386	0.9496372553
387	0.948260349
388	0.9449939758
389	0.9437093998
390	0.941158251
391	0.937735544
392	0.9370158801
393	0.9360077248
394	0.934710677
395	0.9330703052
396	0.9316795072
397	0.9306676796
398	0.9283595818
399	0.9263516858
400	0.9232923183
401	0.9211478482
402	0.9192244179
403	0.917941047
404	0.9166496862
405	0.915232969
406	0.9132195
407	0.9110593484
408	0.9096830311
409	0.9087664004
410	0.9076267646
411	0.9068879003
412	0.9053084152
413	0.9045396273
414	0.9033610257
415	0.9016512129
416	0.8998124882
417	0.8973848935
418	0.8942655888
419	0.8918880894
420	0.8888685954
421	0.8876459742
422	0.8870421979
423	0.8864539367
424	0.8863079279
425	0.885596122
426	0.8837005876
427	0.882165426
428	0.8816011359
429	0.8797985849
430	0.8780499763
431	0.8751747563
432	0.8745102641
433	0.8729993574
434	0.8701152424
435	0.8690147098
436	0.8680686825
437	0.8661891914
438	0.8656664835
439	0.8641194895
440	0.8635264281
441	0.8624299204
442	0.8605625605
443	0.8586856278
444	0.8573696646
445	0.8549414534
446	0.8533196226
447	0.8520877722
448	0.8511547412
449	0.8485121146
450	0.8462243164
451	0.8438052689
452	0.842006448
453	0.8405337422
454	0.8393443044
455	0.8379556683
456	0.8369696915
457	0.8364584329
458	0.8357721814
459	0.8348617447
460	0.8322995149
461	0.8302931383
462	0.8296793122
463	0.8268905128
464	0.825680022
465	0.8249851068
466	0.8223265646
467	0.821199142
468	0.8192688804
469	0.8172356495
470	0.8167394831
471	0.8150219311
472	0.8139737651
473	0.813161315
474	0.8125781233
475	0.8102809157
476	0.8088875801
477	0.8072989583
478	0.8067313909
479	0.8056273085
480	0.8033310141
481	0.8025581315
482	0.8011601259
483	0.7990493942
484	0.7985982653
485	0.7974806881
486	0.7970662653
487	0.7958505414
488	0.7939859762
489	0.7927456955
490	0.7915541015
491	0.7911594398
492	0.7891422134
493	0.7875383318
494	0.7861403555
495	0.7845523883
496	0.7835126103
497	0.7830877332
498	0.7811118772
499	0.7788028719
500	0.7772261231
501	0.7755716558
502	0.7741457855
503	0.7731368381
504	0.7712722317
505	0.7707545997
506	0.7687429682
507	0.7675172755
508	0.7671239814
509	0.7665200816
510	0.7647438173
511	0.7638865144
512	0.762090236
513	0.7607067247
514	0.758685211
515	0.7579847398
516	0.7571315151
517	0.7549978439
518	0.7528100123
519	0.7519555251
520	0.7499305273
521	0.7482618046
522	0.7480726638
523	0.7465274706
524	0.7447993236
525	0.7427267135
526	0.7416118613
527	0.7411642716
528	0.7403807745
529	0.7395758918
530	0.7389140348
531	0.7373477672
532	0.7356026251
533	0.7349218364
534	0.7337680871
535	0.7332103331
536	0.7326097136
537	0.7312517858
538	0.7308811967
539	0.730563751
540	0.7291280393
541	0.7287220379
542	0.7282022474
543	0.7269114723
544	0.7255586915
545	0.7240996027
546	0.7222357292
547	0.7202896108
548	0.7195740431
549	0.7176895112
550	0.7160634931
551	0.7145712489
552	0.7140838873
553	0.7133608776
554	0.7120200396
555	0.7117118583
556	0.7102928022
557	0.7091829531
558	0.7088401118
559	0.7075890496
560	0.7072769778
561	0.7070434422
562	0.705503408
563	0.7048706356
564	0.703496651
565	0.7027726943
566	0.7018938723
567	0.7008226027
568	0.700526902
569	0.7002392969
570	0.6999595216
571	0.6993488778
572	0.6985278246
573	0.6969997744
574	0.6967269813
575	0.6955596129
576	0.6945383259
577	0.6942128665
578	0.6938029064
579	0.6935480442
580	0.6923594841
581	0.6909753252
582	0.6898985536
583	0.6881156417
584	0.6864021613
585	0.6861499932
586	0.6846749588
587	0.6838628414
588	0.6828272995
589	0.6812712351
590	0.6796567204
591	0.6793089435
592	0.6780135754
593	0.6771793165
594	0.6761428874
595	0.6759004649
596	0.675428849
597	0.6740531915
598	0.6739042662
599	0.6726118839
600	0.6712985073
601	0.6701325721
602	0.6691713525
603	0.6679926599
604	0.6673723008
605	0.6662125288
606	0.6645906639
607	0.6643497058
608	0.6634195324
609	0.6626673126
610	0.6613287103
611	0.6606632162
612	0.6603434239
613	0.6591830532
614	0.6575690353
615	0.6567724583
616	0.6556175722
617	0.6554120625
618	0.6539921478
619	0.6530722086
620	0.6519467682
621	0.6514202113
622	0.6502190849
623	0.6500908015
624	0.6494256565
625	0.64861427
626	0.6484172577
627	0.6474996332
628	0.646287725
629	0.6457095311
630	0.6448891987
631	0.6433916323
632	0.6423474183
633	0.64157762
634	0.6403506494
635	0.6392676304
636	0.6377284251
637	0.6375994884
638	0.6371511388
639	0.6360438023
640	0.635838303
641	0.6357277139
642	0.6347307666
643	0.6345413458
644	0.6342574583
645	0.6325794546
646	0.6312185691
647	0.6300563653
648	0.6288042258
649	0.6283484137
650	0.628192063
651	0.6268894657
652	0.6259112187
653	0.6252341702
654	0.6244862964
655	0.6233933559
656	0.6224463802
657	0.6223194249
658	0.6215827622
659	0.6205595261
660	0.6192463427
661	0.6183823068
662	0.6175305107
663	0.6168402731
664	0.6157414105
665	0.6146591737
666	0.6142677601
667	0.6135354627
668	0.6124029565
669	0.6113759216
670	0.6102076365
671	0.6100238656
672	0.6095631619
673	0.6085063515
674	0.6083529225
675	0.6079320964
676	0.6076831989
677	0.6071555228
678	0.6063668869
679	0.6050902806
680	0.6037668476
681	0.603187682
682	0.6026251098
683	0.6021936634
684	0.6010321146
685	0.5999944492
686	0.599889055
687	0.5997931849
688	0.599033725
689	0.5981696521
690	0.5969476615
691	0.5964314645
692	0.5963564348
693	0.5953210821
694	0.5940468671
695	0.5933680211
696	0.59252635
697	0.5917010684
698	0.5906628807
699	0.5896541584
700	0.5884326565
701	0.5882742858
702	0.5873718972
703	0.5864846184
704	0.5863845692
705	0.5848257358
706	0.5842867577
707	0.5841853387
708	0.5829728663
709	0.5822743694
710	0.5812920013
711	0.5801885846
712	0.5792026456
713	0.5789297792
714	0.577853179
715	0.5777478685
716	0.5772578605
717	0.5763349674
718	0.5756503152
719	0.5750867099
720	0.5740015765
721	0.5728748648
722	0.571376174
723	0.5703711696
724	0.5699929822
725	0.5695026655
726	0.5683237304
727	0.5682206843
728	0.5670160602
729	0.5665149592
730	0.5654889999
731	0.5645613232
732	0.5644557978
733	0.5637752185
734	0.563425591
735	0.5629449851
736	0.5615448608
737	0.560887729
738	0.5608008876
739	0.5598785343
740	0.5597476095
741	0.5594419623
742	0.5587107741
743	0.5578599413
744	0.5572127102
745	0.5562882402
746	0.5556291564
747	0.5551350907
748	0.5545606068
749	0.5537229332
750	0.5527542152
751	0.5523093523
752	0.5518798127
753	0.551178261
754	0.5504392092
755	0.5499314246
756	0.5497879627
757	0.5489915933
758	0.5480963599
759	0.5472733215
760	0.5461682266
761	0.5450948489
762	0.5443752601
763	0.5433072738
764	0.5424346698
765	0.5420140157
766	0.5414197408
767	0.5405140105
768	0.5395914054
769	0.5386078353
770	0.5378058463
771	0.5369884627
772	0.5364233923
773	0.5354263867
774	0.5349662107
775	0.5340581981
776	0.5333217538
777	0.5332138207
778	0.5329026729
779	0.5325538873
780	0.5314834598
781	0.5306386678
782	0.5298301865
783	0.5297353588
784	0.5293796007
785	0.5284938422
786	0.5280743631
787	0.5269432608
788	0.5258826407
789	0.5251127027
790	0.5239648513
791	0.5236703544
792	0.5235967179
793	0.522758864
794	0.5218763042
795	0.5213881841
796	0.5206508557
797	0.5199059671
798	0.5186275553
799	0.5182598863
800	0.5174752314
801	0.5166264588
802	0.516289307
803	0.5161770705
804	0.516111816
805	0.5154412823
806	0.5153034377
807	0.5143996334
808	0.5138112324
809	0.5134774839
810	0.5129177105
811	0.5123987804
812	0.511556922
813	0.5106067917
814	0.5095362405
815	0.5092662968
816	0.5082414514
817	0.5078323362
818	0.507487524
819	0.506476179
820	0.5057185772
821	0.5047979323
822	0.5037139938
823	0.5033454144
824	0.5032568477
825	0.5022611552
826	0.50179889
827	0.5014196527
828	0.5009422032
829	0.4999393585
830	0.4996432081
831	0.4986700963
832	0.4979313307
833	0.4968013402
834	0.496556831
835	0.4955518375
836	0.4948995333
837	0.4945097893
838	0.4935648891
839	0.492799311
840	0.4923180118
841	0.4918252366
842	0.4915849352
843	0.4912267106
844	0.4907981219
845	0.4898591664
846	0.4894598541
847	0.4887690194
848	0.4885867765
849	0.4881022792
850	0.4873038277
851	0.4864439763
852	0.4857808369
853	0.4850011422
854	0.4845720139
855	0.4843274434
856	0.4836761802
857	0.4830405282
858	0.4829545538
859	0.4821806278
860	0.4815961264
861	0.4806233536
862	0.4797425181
863	0.4787985873
864	0.4781564964
865	0.4773146801
866	0.4767571738
867	0.4758346361
868	0.4755962807
869	0.4748308005
870	0.4744326853
871	0.4737538103
872	0.472942011
873	0.4726569672
874	0.471818876
875	0.471071393
876	0.4707984512
877	0.4701040188
878	0.4692595882
879	0.4686357826
880	0.4681027814
881	0.4677652838
882	0.4677039214
883	0.4676462507
884	0.4667534811
885	0.466383766
886	0.4659677507
887	0.4652984374
888	0.4652225839
889	0.4646574558
890	0.4636946385
891	0.4633763873
892	0.463004877
893	0.4627399468
894	0.4620046968
895	0.4612552193
896	0.4605893937
897	0.4596514444
898	0.4590869531
899	0.4585009514
900	0.457852284
901	0.4572484708
902	0.4569730808
903	0.4567694084
904	0.4559769591
905	0.4551268605
906	0.4545323949
907	0.4541380988
908	0.4536616463
909	0.4527406287
910	0.4519424293
911	0.4515194934
912	0.4508016777
913	0.4504406642
914	0.4496018539
915	0.4492761358
916	0.4484314334
917	0.4480023463
918	0.4479482603
919	0.4476350724
920	0.4473410762
921	0.446730119
922	0.4461319768
923	0.4460538968
924	0.4455425403
925	0.4449837068
926	0.4441789526
927	0.4435372036
928	0.4434556661
929	0.4432308299
930	0.4426029185
931	0.4422510782
932	0.441779318
933	0.4411597415
934	0.4407466868
935	0.4401007007
936	0.4397787873
937	0.4394437885
938	0.4386641881
939	0.4382388678
940	0.4374581655
941	0.436834807
942	0.4361394108
943	0.4355243145
944	0.4350007869
945	0.434918631
946	0.4347018286
947	0.4345005314
948	0.4342986068
949	0.4339994646
950	0.4337539948
951	0.433484218
952	0.4329090175
953	0.4321493269
954	0.4318426613
955	0.4312200761
956	0.43088714
957	0.4308194411
958	0.4301444599
959	0.4298907112
960	0.429556413
961	0.4290574748
962	0.4282532454
963	0.4280252489
964	0.4277552359
965	0.4271261284
966	0.4268633628
967	0.426230028
968	0.42556158
969	0.4248565131
970	0.4241604291
971	0.4236032455
972	0.4229806407
973	0.4224455444
974	0.4216345692
975	0.4210937211
976	0.4204530121
977	0.4198637915
978	0.4191976875
979	0.418941465
980	0.4184171093
981	0.4178013575
982	0.4171492392
983	0.4165103917
984	0.4162111348
985	0.4159683182
986	0.415702307
987	0.4151193907
988	0.4143781384
989	0.4137792635
990	0.4134330516
991	0.4132316332
992	0.4127956309
993	0.4123464623
994	0.4117439461
995	0.4112243343
996	0.4105478452
997	0.409947797
998	0.40920229
999	0.4089277365
