iter	Passed	Remaining
0	136	136597
1	139	69809
2	142	47469
3	145	36304
4	148	29555
5	151	25085
6	154	21882
7	157	19505
8	161	17781
9	164	16330
10	168	15144
11	172	14185
12	175	13315
13	178	12582
14	181	11947
15	185	11437
16	189	10977
17	193	10574
18	197	10203
19	201	9877
20	205	9561
21	208	9260
22	211	8990
23	215	8744
24	218	8514
25	221	8296
26	224	8099
27	227	7896
28	229	7700
29	233	7543
30	236	7394
31	238	7221
32	241	7080
33	244	6953
34	247	6817
35	250	6700
36	253	6594
37	256	6490
38	259	6392
39	261	6278
40	263	6155
41	266	6075
42	269	5988
43	270	5880
44	273	5795
45	275	5716
46	277	5619
47	279	5535
48	280	5453
49	283	5384
50	285	5315
51	287	5247
52	289	5177
53	291	5102
54	292	5028
55	294	4960
56	295	4895
57	297	4833
58	299	4770
59	300	4709
60	302	4650
61	303	4591
62	304	4533
63	306	4476
64	307	4420
65	308	4365
66	309	4314
67	310	4262
68	312	4211
69	313	4161
70	314	4113
71	315	4065
72	316	4019
73	317	3973
74	318	3929
75	319	3888
76	320	3846
77	321	3805
78	322	3764
79	323	3725
80	324	3687
81	325	3648
82	326	3611
83	327	3575
84	328	3539
85	329	3504
86	330	3470
87	331	3436
88	332	3404
89	333	3372
90	334	3341
91	335	3310
92	336	3280
93	337	3251
94	338	3223
95	339	3195
96	340	3167
97	341	3139
98	342	3112
99	342	3086
100	343	3060
101	344	3034
102	345	3009
103	346	2984
104	347	2960
105	348	2937
106	349	2914
107	350	2892
108	351	2870
109	352	2849
110	353	2828
111	354	2807
112	355	2786
113	355	2766
114	356	2746
115	357	2726
116	358	2707
117	359	2684
118	359	2664
119	360	2646
120	361	2623
121	362	2606
122	363	2589
123	364	2571
124	365	2555
125	365	2538
126	366	2522
127	368	2507
128	369	2491
129	369	2475
130	370	2460
131	371	2445
132	372	2430
133	373	2412
134	373	2393
135	374	2377
136	374	2360
137	375	2346
138	376	2332
139	377	2316
140	378	2303
141	378	2289
142	379	2276
143	380	2262
144	381	2247
145	382	2235
146	382	2222
147	383	2209
148	384	2195
149	385	2183
150	386	2171
151	387	2160
152	388	2149
153	388	2135
154	389	2123
155	390	2112
156	391	2099
157	391	2088
158	392	2078
159	393	2068
160	394	2057
161	395	2045
162	396	2035
163	396	2022
164	397	2012
165	398	2003
166	399	1993
167	400	1983
168	401	1974
169	402	1962
170	402	1953
171	403	1941
172	403	1930
173	404	1919
174	405	1910
175	406	1901
176	407	1893
177	408	1885
178	408	1874
179	409	1863
180	409	1855
181	410	1845
182	411	1836
183	412	1827
184	412	1817
185	413	1809
186	413	1799
187	414	1790
188	414	1779
189	415	1772
190	416	1765
191	417	1755
192	417	1747
193	418	1739
194	419	1732
195	420	1725
196	421	1718
197	422	1711
198	423	1703
199	424	1696
200	424	1688
201	425	1682
202	426	1675
203	427	1667
204	428	1661
205	429	1654
206	429	1646
207	430	1640
208	431	1631
209	432	1625
210	432	1617
211	433	1610
212	434	1604
213	435	1598
214	436	1592
215	436	1584
216	437	1578
217	438	1571
218	438	1564
219	439	1559
220	440	1552
221	441	1546
222	442	1540
223	442	1533
224	443	1528
225	444	1522
226	445	1517
227	446	1511
228	447	1506
229	448	1501
230	449	1496
231	449	1489
232	450	1482
233	450	1475
234	451	1470
235	452	1465
236	453	1458
237	454	1453
238	454	1447
239	455	1442
240	456	1437
241	456	1430
242	457	1426
243	458	1419
244	458	1413
245	459	1408
246	460	1404
247	461	1398
248	462	1393
249	462	1388
250	463	1384
251	464	1378
252	464	1372
253	465	1367
254	466	1363
255	467	1358
256	468	1354
257	468	1348
258	469	1344
259	470	1338
260	470	1332
261	471	1328
262	471	1322
263	472	1317
264	472	1311
265	473	1307
266	474	1302
267	475	1298
268	476	1294
269	477	1290
270	478	1286
271	478	1280
272	478	1275
273	479	1271
274	480	1267
275	481	1262
276	481	1256
277	482	1253
278	483	1249
279	484	1245
280	485	1241
281	485	1236
282	486	1232
283	487	1229
284	488	1225
285	489	1222
286	489	1217
287	490	1212
288	490	1207
289	491	1204
290	492	1200
291	493	1197
292	494	1192
293	494	1187
294	495	1184
295	496	1180
296	497	1177
297	498	1174
298	499	1171
299	500	1167
300	501	1164
301	502	1161
302	503	1158
303	504	1154
304	505	1151
305	506	1148
306	507	1145
307	508	1142
308	509	1139
309	510	1136
310	511	1132
311	512	1129
312	513	1126
313	514	1123
314	515	1120
315	516	1117
316	516	1113
317	517	1110
318	518	1107
319	519	1104
320	520	1101
321	521	1098
322	522	1095
323	523	1092
324	524	1088
325	525	1086
326	526	1083
327	527	1080
328	528	1077
329	528	1073
330	529	1070
331	530	1067
332	531	1064
333	532	1061
334	532	1057
335	533	1054
336	534	1051
337	535	1047
338	536	1045
339	536	1042
340	537	1038
341	538	1036
342	539	1032
343	540	1030
344	540	1026
345	541	1023
346	542	1020
347	543	1017
348	543	1014
349	544	1011
350	545	1009
351	546	1005
352	547	1003
353	548	1000
354	548	997
355	549	994
356	551	992
357	551	989
358	552	986
359	553	984
360	554	981
361	555	979
362	556	976
363	557	973
364	558	971
365	559	968
366	560	966
367	561	963
368	562	961
369	562	958
370	563	955
371	564	953
372	565	950
373	566	948
374	567	945
375	568	943
376	569	940
377	570	938
378	571	936
379	571	933
380	573	930
381	574	928
382	574	926
383	575	923
384	576	921
385	577	919
386	578	916
387	579	914
388	581	912
389	582	910
390	583	908
391	584	906
392	585	903
393	586	901
394	587	899
395	588	896
396	588	894
397	589	892
398	590	889
399	591	887
400	592	885
401	593	883
402	594	881
403	595	879
404	597	877
405	598	875
406	599	872
407	600	870
408	601	868
409	602	866
410	602	864
411	603	861
412	604	859
413	605	857
414	606	855
415	607	853
416	608	850
417	609	848
418	610	846
419	611	844
420	612	842
421	613	840
422	614	838
423	615	836
424	616	834
425	617	832
426	618	830
427	619	827
428	620	825
429	621	823
430	622	821
431	623	819
432	624	817
433	625	815
434	626	813
435	627	811
436	628	809
437	629	807
438	630	805
439	631	803
440	632	801
441	632	799
442	633	797
443	634	794
444	635	792
445	636	791
446	637	789
447	638	787
448	639	785
449	640	783
450	641	781
451	642	779
452	643	777
453	644	775
454	646	773
455	646	771
456	647	769
457	648	767
458	649	765
459	650	764
460	651	762
461	652	760
462	653	758
463	654	756
464	655	754
465	656	752
466	657	750
467	658	748
468	659	747
469	660	745
470	661	743
471	662	741
472	663	739
473	664	737
474	665	735
475	666	733
476	667	732
477	668	730
478	669	728
479	670	726
480	671	724
481	672	722
482	673	720
483	674	719
484	675	717
485	676	715
486	677	713
487	678	711
488	679	709
489	680	708
490	681	706
491	682	704
492	683	702
493	684	700
494	684	698
495	685	697
496	686	695
497	687	693
498	688	691
499	690	690
500	691	688
501	692	686
502	693	684
503	694	683
504	695	681
505	696	679
506	697	678
507	698	676
508	699	674
509	700	672
510	701	670
511	702	669
512	703	667
513	704	665
514	705	664
515	706	662
516	707	660
517	708	658
518	709	657
519	710	655
520	710	653
521	712	651
522	712	650
523	713	648
524	714	646
525	715	645
526	716	643
527	717	641
528	718	639
529	719	638
530	720	636
531	721	634
532	722	633
533	723	631
534	724	629
535	725	628
536	726	626
537	727	624
538	728	623
539	729	621
540	730	619
541	731	617
542	732	616
543	733	614
544	734	612
545	735	611
546	736	609
547	737	607
548	738	606
549	738	604
550	739	602
551	740	601
552	741	599
553	742	597
554	743	596
555	744	594
556	745	592
557	746	591
558	747	589
559	748	588
560	749	586
561	750	584
562	751	583
563	752	581
564	753	580
565	754	578
566	755	576
567	756	575
568	757	573
569	758	572
570	759	570
571	760	568
572	761	567
573	761	565
574	762	563
575	763	562
576	764	560
577	765	559
578	766	557
579	767	556
580	768	554
581	769	552
582	770	551
583	771	549
584	772	548
585	774	546
586	774	545
587	775	543
588	776	542
589	777	540
590	778	539
591	780	537
592	781	536
593	782	534
594	783	533
595	784	531
596	785	530
597	786	528
598	787	526
599	788	525
600	789	523
601	790	522
602	791	520
603	792	519
604	793	517
605	794	516
606	795	514
607	796	513
608	797	511
609	798	510
610	799	508
611	799	507
612	800	505
613	801	504
614	802	502
615	803	501
616	804	499
617	805	498
618	806	496
619	807	495
620	808	493
621	809	492
622	810	490
623	811	489
624	812	487
625	813	486
626	814	484
627	815	483
628	816	481
629	817	480
630	818	478
631	819	477
632	820	475
633	821	474
634	822	472
635	823	471
636	824	469
637	825	468
638	826	466
639	827	465
640	828	463
641	829	462
642	830	461
643	831	459
644	832	458
645	833	456
646	834	455
647	835	453
648	836	452
649	837	450
650	838	449
651	839	447
652	840	446
653	841	445
654	842	443
655	843	442
656	844	440
657	845	439
658	846	438
659	847	436
660	848	435
661	849	433
662	850	432
663	851	430
664	852	429
665	853	427
666	854	426
667	855	425
668	856	423
669	857	422
670	858	420
671	859	419
672	860	418
673	861	416
674	862	415
675	863	413
676	864	412
677	865	410
678	866	409
679	867	408
680	868	406
681	869	405
682	870	403
683	871	402
684	872	401
685	873	399
686	873	398
687	874	396
688	875	395
689	876	393
690	877	392
691	878	391
692	879	389
693	880	388
694	881	386
695	882	385
696	883	384
697	884	382
698	885	381
699	886	379
700	887	378
701	888	377
702	889	375
703	890	374
704	890	372
705	891	371
706	892	370
707	893	368
708	894	367
709	895	365
710	896	364
711	897	363
712	898	361
713	899	360
714	900	358
715	901	357
716	902	356
717	903	354
718	904	353
719	905	351
720	906	350
721	907	349
722	907	347
723	908	346
724	909	345
725	910	343
726	911	342
727	912	341
728	913	339
729	914	338
730	915	336
731	916	335
732	917	334
733	918	332
734	919	331
735	920	330
736	921	328
737	922	327
738	923	326
739	924	324
740	925	323
741	926	322
742	927	320
743	928	319
744	929	318
745	930	316
746	931	315
747	932	314
748	933	312
749	934	311
750	935	310
751	936	308
752	937	307
753	938	306
754	939	304
755	940	303
756	941	302
757	942	301
758	943	299
759	944	298
760	945	297
761	947	295
762	947	294
763	949	293
764	950	291
765	951	290
766	952	289
767	953	287
768	954	286
769	955	285
770	956	283
771	957	282
772	958	281
773	959	280
774	960	278
775	961	277
776	962	276
777	963	274
778	964	273
779	965	272
780	966	270
781	967	269
782	968	268
783	969	267
784	970	265
785	971	264
786	972	263
787	973	261
788	974	260
789	975	259
790	976	258
791	977	256
792	978	255
793	979	254
794	980	252
795	981	251
796	982	250
797	983	248
798	984	247
799	985	246
800	986	245
801	987	243
802	988	242
803	989	241
804	990	239
805	991	238
806	992	237
807	992	235
808	993	234
809	994	233
810	995	232
811	996	230
812	997	229
813	998	228
814	999	226
815	1000	225
816	1001	224
817	1002	223
818	1003	221
819	1004	220
820	1005	219
821	1006	217
822	1007	216
823	1008	215
824	1009	214
825	1010	212
826	1011	211
827	1012	210
828	1013	208
829	1014	207
830	1015	206
831	1016	205
832	1017	203
833	1017	202
834	1018	201
835	1019	200
836	1020	198
837	1021	197
838	1022	196
839	1023	194
840	1024	193
841	1025	192
842	1026	191
843	1027	189
844	1028	188
845	1029	187
846	1030	186
847	1031	184
848	1032	183
849	1033	182
850	1034	181
851	1035	179
852	1036	178
853	1037	177
854	1038	176
855	1039	174
856	1040	173
857	1040	172
858	1041	171
859	1042	169
860	1043	168
861	1044	167
862	1045	166
863	1046	164
864	1047	163
865	1048	162
866	1049	161
867	1050	159
868	1051	158
869	1052	157
870	1053	156
871	1054	154
872	1055	153
873	1056	152
874	1057	151
875	1058	149
876	1059	148
877	1060	147
878	1061	146
879	1062	144
880	1063	143
881	1064	142
882	1065	141
883	1066	139
884	1067	138
885	1068	137
886	1069	136
887	1070	134
888	1071	133
889	1072	132
890	1073	131
891	1074	130
892	1075	128
893	1076	127
894	1077	126
895	1078	125
896	1079	123
897	1080	122
898	1081	121
899	1082	120
900	1083	119
901	1084	117
902	1085	116
903	1086	115
904	1087	114
905	1088	112
906	1089	111
907	1090	110
908	1091	109
909	1092	108
910	1093	106
911	1094	105
912	1095	104
913	1095	103
914	1096	101
915	1097	100
916	1098	99
917	1099	98
918	1100	97
919	1101	95
920	1102	94
921	1103	93
922	1104	92
923	1105	90
924	1106	89
925	1107	88
926	1108	87
927	1109	86
928	1110	84
929	1111	83
930	1112	82
931	1113	81
932	1114	80
933	1115	78
934	1116	77
935	1117	76
936	1118	75
937	1119	74
938	1120	72
939	1121	71
940	1122	70
941	1123	69
942	1124	67
943	1125	66
944	1126	65
945	1127	64
946	1128	63
947	1129	61
948	1130	60
949	1131	59
950	1132	58
951	1133	57
952	1134	55
953	1135	54
954	1136	53
955	1137	52
956	1137	51
957	1138	49
958	1139	48
959	1140	47
960	1141	46
961	1142	45
962	1143	43
963	1144	42
964	1145	41
965	1146	40
966	1147	39
967	1148	37
968	1149	36
969	1150	35
970	1151	34
971	1152	33
972	1153	32
973	1154	30
974	1155	29
975	1156	28
976	1157	27
977	1158	26
978	1159	24
979	1160	23
980	1161	22
981	1162	21
982	1163	20
983	1164	18
984	1165	17
985	1166	16
986	1167	15
987	1168	14
988	1169	13
989	1170	11
990	1171	10
991	1172	9
992	1173	8
993	1175	7
994	1176	5
995	1177	4
996	1178	3
997	1179	2
998	1180	1
999	1181	0
